drug_name,gene,level_of_evidence
Lornoxicam,CYP2C9,1A
Siponimod,CYP2C9,1A
Capecitabine,DPYD,1A
Dexlansoprazole,CYP2C19,1A
Warfarin,CYP2C9,1A
"Atazanavir,Atazanavir / Ritonavir",UGT1A1,1A
Azathioprine,TPMT,1A
Fluorouracil,DPYD,1A
Warfarin,CYP4F2,1A
Gefitinib,EGFR,1A
Phenprocoumon,VKORC1,1A
Mercaptopurine,NUDT15,1A
Hydrocodone,CYP2D6,1A
Tropisetron,CYP2D6,1A
Ibuprofen,CYP2C9,1A
Desipramine,CYP2D6,1A
Rasburicase,G6PD,1A
Flurbiprofen,CYP2C9,1A
Trimipramine,CYP2D6,1A
Tenoxicam,CYP2C9,1A
Celecoxib,CYP2C9,1A
Piroxicam,CYP2C9,1A
Ivacaftor / Lumacaftor,CFTR,1A
Ivacaftor / Tezacaftor,CFTR,1A
Flucloxacillin,HLA-B,1A
Phenytoin,CYP2C9,1A
Irinotecan,UGT1A1,1A
Trimipramine,CYP2C19,1A
Azathioprine,NUDT15,1A
Efavirenz,CYP2B6,1A
Abacavir,HLA-B,1A
Acenocoumarol,VKORC1,1A
"Peginterferon Alfa-2A,Peginterferon Alfa-2B,Ribavirin,Telaprevir","IFNL3,IFNL4",1A
"Peginterferon Alfa-2A,Peginterferon Alfa-2B,Ribavirin","IFNL3,IFNL4",1A
"Boceprevir,Peginterferon Alfa-2A,Peginterferon Alfa-2B,Ribavirin","IFNL3,IFNL4",1A
"Folfiri,Irinotecan",UGT1A1,1A
Warfarin,,1A
Amitriptyline,CYP2D6,1A
Clomipramine,CYP2D6,1A
Imipramine,CYP2D6,1A
Codeine,CYP2D6,1A
Doxepin,CYP2D6,1A
Nortriptyline,CYP2D6,1A
Voriconazole,CYP2C19,1A
Lansoprazole,CYP2C19,1A
Clopidogrel,CYP2C19,1A
Pantoprazole,CYP2C19,1A
Atomoxetine,CYP2D6,1A
Flecainide,CYP2D6,1A
Paroxetine,CYP2D6,1A
Tamoxifen,CYP2D6,1A
Metoprolol,CYP2D6,1A
