drug_id,drug_name,atc_code
CID100000085,Carnitine,A16AA01
CID100000119,Gamma-Aminobutyric,L03AA03
CID100000119,Gamma-Aminobutyric,N03AG03
CID100000137,5-Aminolevulinic,L01XD04
CID100000143,Leucovorin,V03AF03
CID100000143,Leucovorin,V03AF04
CID100000143,Leucovorin,V03AF06
CID100000146,5-Methyltetrahydrofolate,
CID100000158,Pge2,G02AD02
CID100000159,Prostacyclin,B01AC09
CID100000160,Prostaglandin,G02AD01
CID100000175,Acetate,G01AD02
CID100000175,Acetate,S02AA10
CID100000187,Acetylcholine,S01EB09
CID100000191,Adenosine,C01EB10
CID100000191,Adenosine,J05AB03
CID100000191,Adenosine,S01AD06
CID100000206,Glucose,A12AA07
CID100000206,Glucose,A12BA01
CID100000206,Glucose,A12CA01
CID100000206,Glucose,B05CB01
CID100000206,Glucose,B05CX01
CID100000206,Glucose,B05XA01
CID100000206,Glucose,B05XA03
CID100000206,Glucose,B05XA07
CID100000206,Glucose,G04BA03
CID100000206,Glucose,V04CA02
CID100000206,Glucose,V04CE01
CID100000206,Glucose,V06DC01
CID100000214,Pge1,C01EA01
CID100000214,Pge1,G04BE01
CID100000222,Ammonia,
CID100000232,Arginine,B05XB01
CID100000244,Benzyl,
CID100000247,Betaine,A09AB02
CID100000247,Betaine,A16AA06
CID100000271,Calcium,A07XA03
CID100000271,Calcium,A12AA20
CID100000297,Graphene,
CID100000298,Chloramphenicol,D06AX02
CID100000298,Chloramphenicol,D10AF03
CID100000298,Chloramphenicol,G01AA05
CID100000298,Chloramphenicol,J01BA01
CID100000298,Chloramphenicol,S01AA01
CID100000298,Chloramphenicol,S02AA01
CID100000298,Chloramphenicol,S03AA08
CID100000303,Bile,A05AA03
CID100000305,Choline,
CID100000311,Citric,A09AB04
CID100000312,Chloride,A09AB03
CID100000312,Chloride,B05XA13
CID100000338,Salicylate,D01AE12
CID100000338,Salicylate,N02BA04
CID100000338,Salicylate,N02BA12
CID100000338,Salicylate,S01BC08
CID100000401,D-Cycloserine,J04AB01
CID100000444,Bupropion,N06AX12
CID100000450,Estradiol,G03CA03
CID100000450,Estradiol,L02AA02
CID100000453,Mannitol,A06AD16
CID100000453,Mannitol,A06AD18
CID100000453,Mannitol,A06AG07
CID100000453,Mannitol,B05BC01
CID100000453,Mannitol,B05CX02
CID100000453,Mannitol,B05CX04
