drug_id,drug_name
CID100000085,Carnitine
CID100000119,Gamma-Aminobutyric
CID100000137,5-Aminolevulinic
CID100000143,Leucovorin
CID100000146,5-Methyltetrahydrofolate
CID100000158,Pge2
CID100000159,Prostacyclin
CID100000160,Prostaglandin
CID100000175,Acetate
CID100000187,Acetylcholine
CID100000191,Adenosine
CID100000206,Glucose
CID100000214,Pge1
CID100000222,Ammonia
CID100000232,Arginine
CID100000244,Benzyl
CID100000247,Betaine
CID100000271,Calcium
CID100000297,Graphene
CID100000298,Chloramphenicol
CID100000303,Bile
CID100000305,Choline
CID100000311,Citric
CID100000312,Chloride
CID100000338,Salicylate
CID100000401,D-Cycloserine
CID100000444,Bupropion
CID100000450,Estradiol
CID100000453,Mannitol
CID100000564,Eaca
CID100000581,N-Acetylcysteine
CID100000596,Cytarabine
CID100000598,Mesna
CID100000612,Lactate
CID100000679,Dmso
CID100000681,Dopamine
CID100000698,Estrone
CID100000699,Oestrogen
CID100000700,Monoethanolamine
CID100000727,Lindane
CID100000738,Glutamine
CID100000750,Glycine
CID100000753,Glycerol
CID100000767,Bicarbonate
CID100000772,Lmwh
CID100000774,Histamine
CID100000785,Quinol
CID100000813,Potassium
CID100000815,Kanamycin
CID100000838,Epinephrine
CID100000853,Thyroxine
CID100000861,Triiodothyronine
CID100000888,Magnesium
CID100000896,Melatonin
CID100000923,Sodium
CID100000937,Niacin
CID100000942,Nicotine
CID100000946,Nitrite
CID100000948,Nitrous
CID100000951,Norepinephrine
CID100000961,Hydroxyl
CID100001003,Phosphate
CID100001046,Pyrazinamide
CID100001054,Pyridoxine
CID100001065,Quinidine
CID100001071,Retinol
CID100001084,Thiosulfate
CID100001125,Tetrahydrobiopterin
CID100001130,Thiamine
CID100001134,Thymidine
CID100001206,Methamphetamine
CID100001301,Naproxen
CID100001546,Cladribine
CID100001690,Doxorubicin
CID100001727,4-Ap
CID100001775,Phenytoin
CID100001798,Methazolamide
CID100001805,5-Azacytidine
CID100001875,Methylprednisolone
CID100001971,Abacavir
CID100001972,Amphotericin
CID100001978,Acebutolol
CID100001983,Acetaminophen
CID100001986,Acetazolamide
CID100001990,Acetohydroxamic
CID100001993,Methacholine
CID100002019,Actinomycin
CID100002021,Spectinomycin
CID100002022,Acyclovir
CID100002082,Albendazole
CID100002083,Salbutamol
CID100002085,Almeta
CID100002088,Alendronate
CID100002092,Alfuzosin
CID100002094,Allopurinol
CID100002099,Alosetron
CID100002118,Alprazolam
CID100002123,Hexamethylmelamine
CID100002130,Amantadine
CID100002133,Amcinonide
CID100002140,Diatrizoate
CID100002141,Amifostine
CID100002142,Amikacin
CID100002145,Aminoglutethimide
CID100002148,P-Aminohippurate
CID100002153,Theophylline
CID100002156,Amiodarone
CID100002159,Amisulpride
CID100002160,Amitriptyline
CID100002161,Amlexanox
CID100002162,Amlodipine
CID100002163,Amobarbital
CID100002168,Amorolfine
CID100002170,Amoxapine
CID100002171,Amoxicillin
CID100002173,Ampicillin
CID100002177,Amprenavir
CID100002179,Amsacrine
CID100002182,Anagrelide
CID100002187,Anastrozole
CID100002215,Apomorphine
CID100002216,Apraclonidine
CID100002232,Argatroban
CID100002244,Aspirin
CID100002249,Atenolol
CID100002250,Atorvastatin
CID100002265,Azathioprine
CID100002266,Azelaic
CID100002267,Azelastine
CID100002269,Azithromycin
CID100002274,Aztreonam
CID100002284,Baclofen
CID100002307,Beclomethasone
CID100002308,Beclomethasone
CID100002311,Benazepril
CID100002315,Bendrofluazide
CID100002337,Benzocaine
CID100002341,Benzphetamine
CID100002344,Benztropine
CID100002345,Benzyl
CID100002349,Penicillin
CID100002350,Bepotastine
CID100002351,Bepridil
CID100002366,Betahistine
CID100002367,Dexamethasone
CID100002369,Betaxolol
CID100002370,Bethanechol
CID100002375,Bicalutamide
CID100002391,Bisacodyl
CID100002405,Bisoprolol
CID100002431,Bretylium
CID100002435,Brimonidine
CID100002441,Bromazepam
CID100002442,Bromhexine
CID100002443,Bromocriptine
CID100002462,Budesonide
CID100002471,Bumetanide
CID100002474,Bupivacaine
CID100002476,Buprenorphine
CID100002477,Buspirone
CID100002478,Busulfan
CID100002479,Butabarbital
CID100002484,Butenafine
CID100002487,Butorphanol
CID100002512,Cabergoline
CID100002519,Caffeine
CID100002520,Verapamil
CID100002522,Calcipotriol
CID100002524,"1,25(Oh)2D3"
CID100002540,Candesartan
CID100002541,Candesartan
CID100002547,Capreomycin
CID100002548,Capsaicin
CID100002550,Captopril
CID100002551,Carbachol
CID100002554,Carbamazepine
CID100002559,Carbenicillin
CID100002563,Carbidopa
CID100002564,Carbinoxamine
CID100002576,Carisoprodol
CID100002578,Bcnu
CID100002583,Carteolol
CID100002585,Carvedilol
CID100002609,Cefaclor
CID100002610,Cefadroxil
CID100002617,Cefazolin
CID100002622,Cefepime
CID100002631,Cefotaxime
CID100002637,Cefoxitin
CID100002646,Cefprozil
CID100002650,Ceftazidime
CID100002654,Cephem
CID100002655,Ceftizoxime
CID100002656,Ceftriaxone
CID100002658,Cefuroxime
CID100002662,Celecoxib
CID100002663,Celiprolol
CID100002666,Cephalexin
CID100002675,Cefixime
CID100002676,Cerivastatin
CID100002678,Cetirizine
CID100002684,Cevimeline
CID100002708,Chlorambucil
CID100002712,Chlordiazepoxide
CID100002713,Chlorhexidine
CID100002719,Chloroquine
CID100002720,Thiazide
CID100002725,Chlorpheniramine
CID100002726,Chlorpromazine
CID100002727,Chlorpropamide
CID100002732,Chlorthalidone
CID100002733,Chlorzoxazone
CID100002749,Ciclopirox
CID100002751,Cilazapril
CID100002754,Cilostazol
CID100002756,Cimetidine
CID100002762,Cinoxacin
CID100002764,Ciprofloxacin
CID100002767,Cisplatin
CID100002771,Citalopram
CID100002781,Clemastine
CID100002786,Clindamycin
CID100002789,Clobazam
CID100002791,Clobetasol
CID100002792,Clobetasone
CID100002794,Clofazimine
CID100002800,Clomiphene
CID100002801,Clomipramine
CID100002802,Clonazepam
CID100002803,Clonidine
CID100002806,Clopidogrel
CID100002809,Clorazepate
CID100002812,Clotrimazole
CID100002818,Clozapine
CID100002826,Cocaine
CID100002828,Codeine
CID100002833,Colchicine
CID100002881,Sodium
CID100002883,Crotamiton
CID100002891,Cyanocobalamin
CID100002895,Cyclobenzaprine
CID100002905,Cyclopentolate
CID100002907,Cyclophosphamide
CID100002909,V
CID100002913,Cyproheptadine
CID100002914,Cyproterone
CID100002949,Danazol
CID100002951,Dantrolene
CID100002955,Dapsone
CID100002958,Anthracycline
CID100002972,Deferiprone
CID100002973,Deferoxamine
CID100002978,Delta
CID100002995,Desipramine
CID100003000,Desoximetasone
CID100003003,Dexamethasone
CID100003007,Amphetamine
CID100003008,Dextromethorphan
CID100003009,Dfmo
CID100003015,Cyproterone
CID100003016,Diazepam
CID100003019,Diazoxide
CID100003032,Diclofenac
CID100003038,Dichlorphenamide
CID100003040,Dicloxacillin
CID100003042,Dicyclomine
CID100003043,Didanosine
CID100003053,Diethylenetriaminepentaacetic
CID100003056,Diflorasone
CID100003059,Diflunisal
CID100003060,Epitopic
CID100003062,Digoxin
CID100003063,Dihydrocodeine
CID100003066,Dihydroergotamine
CID100003075,Diltiazem
CID100003080,Dimercaprol
CID100003100,Diphenhydramine
CID100003105,Dipivefrin
CID100003108,Dipyridamole
CID100003114,Disopyramide
CID100003117,Disulfiram
CID100003121,Valproate
CID100003125,Alpha-Methyl-P-Tyrosine
CID100003143,Docetaxel
CID100003148,Dolasetron
CID100003151,Domperidone
CID100003152,Donepezil
CID100003154,Dorzolamide
CID100003155,Dothiepin
CID100003156,Doxapram
CID100003157,Doxazosin
CID100003158,Doxepin
CID100003168,Droperidol
CID100003171,L-Threo-Dops
CID100003182,Dyphylline
CID100003198,Econazole
CID100003199,Trabectedin
CID100003202,Edrophonium
CID100003203,Efavirenz
CID100003209,Eicosapentaenoic
CID100003219,Emedastine
CID100003222,Cas
CID100003226,Enflurane
CID100003241,Epinastine
CID100003249,Vitamin
CID100003250,Ergonovine
CID100003251,Ergotamine
CID100003255,Erythromycin
CID100003256,Monomycin
CID100003261,Estazolam
CID100003263,Estradiol
CID100003267,Estradiol
CID100003268,Estramustine
CID100003269,Estriol
CID100003278,Ethacrynic
CID100003279,Ethambutol
CID100003291,Ethosuximide
CID100003292,Ethotoin
CID100003305,Etidronate
CID100003308,Etodolac
CID100003310,Etoposide
CID100003324,Famciclovir
CID100003325,Famotidine
CID100003331,Felbamate
CID100003333,Felodipine
CID100003339,Fenofibrate
CID100003340,Fenoldopam
CID100003342,Fenoprofen
CID100003345,Fentanyl
CID100003348,Fexofenadine
CID100003350,Finasteride
CID100003354,Flavoxate
