gene,type,level_of_evidence
CYP2C9,Metabolism/PK,1A
DPYD,Toxicity,1A
CYP2C19,Metabolism/PK,1A
CYP2C9,Toxicity,1A
UGT1A1,Toxicity,1A
TPMT,Dosage,1A
CYP4F2,Dosage,1A
EGFR,Efficacy,1A
VKORC1,Dosage,1A
NUDT15,Dosage,1A
CYP2D6,Metabolism/PK,1A
CYP2D6,Efficacy,1A
G6PD,Toxicity,1A
DPYD,Other,1A
CFTR,Efficacy,1A
HLA-B,Toxicity,1A
UGT1A1,Dosage,1A
CYP2D6,Toxicity,1A
NUDT15,Toxicity,1A
CYP2B6,Toxicity,1A
CYP2B6,Metabolism/PK,1A
CYP2B6,Dosage,1A
"IFNL3,IFNL4",Efficacy,1A
,Dosage,1A
CYP2D6,Dosage,1A
CYP2C19,Efficacy,1A
MT-RNR1,Toxicity,1A
CYP2C9,Dosage,1A
SLCO1B1,Metabolism/PK,1A
SLCO1B1,Toxicity,1A
ABCG2,Metabolism/PK,1A
ABCG2,Toxicity,1A
ABCG2,Efficacy,1A
ABCG2,Dosage,1A
CYP2C19,Toxicity,1A
TPMT,Toxicity,1A
TPMT,Metabolism/PK,1A
RYR1,Toxicity,1A
CACNA1S,Toxicity,1A
CYP3A5,Metabolism/PK,1A
CYP2C19,"Efficacy,Toxicity",1A
CYP3A4,Metabolism/PK,1A
CYP3A5,Dosage,1A
HLA-A,Toxicity,1A
VKORC1,Toxicity,1B
UGT1A1,Toxicity,1B
CYP3A5,Metabolism/PK,1B
IFNL4,Efficacy,1B
IFNL3,Efficacy,1B
CYP2C9,Toxicity,1B
CYP2C9,Dosage,1B
VKORC1,Dosage,1B
UGT1A1,Metabolism/PK,1B
CYP2A6,Metabolism/PK,1B
NAT2,Toxicity,1B
CYP2D6,Metabolism/PK,1B
IFNL3,Efficacy,2A
VKORC1,Efficacy,2A
SLC19A1,Efficacy,2A
HLA-B,Toxicity,2A
CYP2B6,Metabolism/PK,2A
ABCG2,Efficacy,2A
UGT1A1,Toxicity,2A
CYP3A4,Metabolism/PK,2A
CYP3A5,Dosage,2A
CYP2C9,Efficacy,2A
VKORC1,Dosage,2A
VKORC1,Toxicity,2A
CYP2D6,Dosage,2A
CYP4F2,Dosage,2A
ADRB2,Efficacy,2A
CYP2B6,Toxicity,2A
SLCO1B1,Toxicity,2A
ACE,Efficacy,2A
CYP2D6,Metabolism/PK,2A
CYP2C19,Metabolism/PK,2A
CYP2C9,Toxicity,2A
CYP3A4,Dosage,2A
MTHFR,Toxicity,2A
NAT2,Metabolism/PK,2A
HLA-C,Toxicity,2B
CES1,Efficacy,2B
CES1,Metabolism/PK,2B
SCN1A,Dosage,2B
ATIC,Efficacy,2B
HLA-DRB1,Toxicity,2B
XRCC1,Efficacy,2B
EGFR,Efficacy,2B
CHRNA5,Toxicity,2B
ALDH2,Toxicity,2B
HLA-DPB1,Toxicity,2B
APOE,Efficacy,2B
ITPA,Toxicity,2B
ADD1,Efficacy,2B
FCGR3A,Efficacy,2B
F2,Toxicity,2B
HLA-A,Toxicity,2B
SLC28A3,Toxicity,2B
F5,Toxicity,2B
TNF,Efficacy,2B
,Toxicity,3
CSRP3,Efficacy,3
ARAP2,Efficacy,3
CST5,Efficacy,3
MAFB,Efficacy,3
CYP2C19,Dosage,3
ADD1,Efficacy,3
DRD3,Efficacy,3
"UGT1A10,UGT1A6,UGT1A7,UGT1A8,UGT1A9",Dosage,3
SLC19A1,Efficacy,3
PTGS2,Efficacy,3
ABCB1,Dosage,3
ABCB1,Efficacy,3
ABCB1,Other,3
ABCB1,Toxicity,3
ABCC2,Toxicity,3
ERCC1,Toxicity,3
GSTP1,Efficacy,3
ERCC2,"Efficacy,Toxicity",3
PTGER3,Toxicity,3
APOE,Toxicity,3
SLCO1B3,Toxicity,3
MME,Toxicity,3
ESR2,Toxicity,3
BDKRB2,Toxicity,3
STX4,Dosage,3
ERBB2,Toxicity,3
VKORC1,Dosage,3
HLA-C,Toxicity,3
SLCO1B1,Efficacy,3
,Efficacy,3
ESR1,Toxicity,3
TPH2,Efficacy,3
"ADORA2A,SPECC1L",Toxicity,3
MOB3B,Efficacy,3
EGFR,Efficacy,3
DTNBP1,Toxicity,3
ALOX5,Efficacy,3
LTA4H,Efficacy,3
HTR2A,Efficacy,3
ADRB3,Toxicity,3
RGS4,Efficacy,3
LEP,Toxicity,3
CCND1,Efficacy,3
DTNBP1,Efficacy,3
KCNH2,Toxicity,3
GGH,Toxicity,3
C9ORF72,Efficacy,3
CBR3,"Efficacy,Toxicity",3
NRP2,Other,3
CYP3A4,Dosage,3
UGT1A9,Toxicity,3
"BAG6,PRRC2A",Toxicity,3
ACE,Efficacy,3
CYP2C9,Dosage,3
NPPA,Efficacy,3
PPARA,Efficacy,3
GBP6,Efficacy,3
CAT,Toxicity,3
SLCO1B1,Other,3
CYP2C8,Other,3
HTR1A,Efficacy,3
NRG3,Toxicity,3
NUBPL,Toxicity,3
CELF4,Toxicity,3
CERKL,Toxicity,3
NOS1AP,Toxicity,3
TLR3,Efficacy,3
PICK1,Toxicity,3
CHST3,"Efficacy,Toxicity",3
CHST3,Efficacy,3
PIK3CA,Dosage,3
"CLCN6,MTHFR",Toxicity,3
IL1B,Efficacy,3
CYP2B6,Toxicity,3
TYMS,Efficacy,3
DRD3,Toxicity,3
DSCAM,Efficacy,3
PPARD,Efficacy,3
ABCC6,Toxicity,3
"ERCC1,POLR1G,PPP1R13L",Efficacy,3
SERPINE1,Efficacy,3
CYP3A4,Toxicity,3
NR1I2,Other,3
COMT,Efficacy,3
GRM3,Efficacy,3
APOC3,Toxicity,3
LPIN1,Efficacy,3
TCF7L2,Efficacy,3
ABCC1,Efficacy,3
ABCC1,"Efficacy,Toxicity",3
ABCG2,Efficacy,3
ABCC1,Toxicity,3
APOB,Efficacy,3
HTR3B,Toxicity,3
CYP1A2,Toxicity,3
FPGS,Efficacy,3
MTHFR,Toxicity,3
CYP2C8,Toxicity,3
HTR7,Toxicity,3
NALCN,Other,3
ARID5B,Other,3
GGH,Efficacy,3
DRD2,Toxicity,3
NOS3,Efficacy,3
BDNF,Efficacy,3
EPHX1,Toxicity,3
CYP4B1,Toxicity,3
SLC10A2,Toxicity,3
SPG7,Toxicity,3
ATP7A,Toxicity,3
NAT2,Toxicity,3
SULT1C4,Efficacy,3
"RPL13,SNORD68,SPG7",Toxicity,3
PRDX4,Dosage,3
EPHX1,Dosage,3
XRCC4,Dosage,3
ADM,Efficacy,3
VDR,Efficacy,3
ADORA2A,Toxicity,3
EGFR,Toxicity,3
GLCCI1,Efficacy,3
"KCNIP1,KCNMB1",Efficacy,3
ESR1,Efficacy,3
CACNA1C,Efficacy,3
GRK4,Efficacy,3
ABCC10,Toxicity,3
IDO1,Toxicity,3
HLA-DQA1,Efficacy,3
AGT,Toxicity,3
HLA-DQB1,Toxicity,3
CYP2A6,Other,3
COMT,Toxicity,3
CYP2B6,Dosage,3
COMT,Other,3
CYP3A4,Other,3
COQ2,Toxicity,3
RYR2,Toxicity,3
SHMT1,Toxicity,3
KCNH2,Efficacy,3
CYP2C8,Dosage,3
GABRQ,Efficacy,3
CYP2D6,Efficacy,3
GSK3B,Efficacy,3
CACNG2,Efficacy,3
FKBP5,Efficacy,3
FDPS,Toxicity,3
GABRA6,Efficacy,3
GABRP,Efficacy,3
GRIA3,Efficacy,3
GAL,Efficacy,3
BDNF,Toxicity,3
P2RY12,Efficacy,3
CRY1,Efficacy,3
DRD1,Efficacy,3
"OR52J2P,OR52J3",Efficacy,3
GSTM3,Toxicity,3
IL12A,Toxicity,3
IL4R,Efficacy,3
BDNF,Dosage,3
"NR1D1,THRA",Efficacy,3
IMPDH1,Efficacy,3
NTRK2,Dosage,3
"G6PD,IKBKG",Toxicity,3
IMPDH1,Toxicity,3
ANKK1,Dosage,3
DRD2,Dosage,3
NGF,Dosage,3
TPH1,Efficacy,3
CDA,Efficacy,3
CDA,Toxicity,3
CHRNA4,Other,3
ADRB1,Toxicity,3
GNB3,Toxicity,3
HTR2A,Toxicity,3
SLC14A2,Efficacy,3
CYP1A2,Efficacy,3
ANKK1,Toxicity,3
GNB3,Efficacy,3
